id;accepted_offer_ulid_id;accepted_offer_ref_no;req_off_ulid_id;value;req_amount;margin_ptg;margin_value;amount_aft_margin;interest_ptg;term;interest_value;net_amount;status;offer_date;offer_accepted_date
1;weary youthfully;lest needy against;weakly after huzzah;12014;31906;5068.98;8757;28942;29877.43;18656;110;21473;trail;2024-03-15;2024-03-15
2;pfft;midst;glug;10692;20914;2719.08;27776;26865;12306.08;9939;18745;14301;supposing;2024-03-15;2024-03-15
3;instead;swat among really;per;1725;28528;2316.53;18388;5770;30172.64;12111;25997;4925;including;2024-03-14;2024-03-14
4;ew fooey eliminate;stealthily baggage patiently;rain oh;9374;6548;1298.32;15735;7143;4073.24;5048;7182;15967;gosh grey ack;2024-03-15;2024-03-14
5;periodic otter;now;apud;25591;27470;12265.61;12491;11254;16638.29;127;26126;29676;where fine ugh;2024-03-15;2024-03-14
6;furthermore;toga suit phew;putrid when angrily;214;15092;3715.3;14356;31406;17844.57;28925;13530;3288;modulo externalize anenst;2024-03-15;2024-03-14
7;over despite;connect duh;yahoo;31781;28668;24350.07;27287;16366;17721.38;27582;29132;26631;shell dismal;2024-03-14;2024-03-14
8;spiffy ham;cake cause;failing cabinet fooey;7943;20409;13095.8;5674;17128;8097.55;30878;28190;4888;where;2024-03-15;2024-03-15
9;ornate fully;indeed bonsai;millstone culminate;12012;12318;9395.23;25908;16214;24949.07;27465;16003;15355;quaint role;2024-03-14;2024-03-15
10;alongside only;cleat deafening;once reword on;20090;9313;15931.74;28957;28592;14743.16;18840;14933;27057;subscribe;2024-03-15;2024-03-14
