id;action_id;action_code;action_description;action_val;cp_code
1;11538;minimum pish;gloss critique ew;punctually;district
2;29485;hmph;loafer;yum alpenglow;indeed wicked pish
3;32366;jumper;freely foolishly;quaint commonsense;on besides wearily
4;6313;ugh;access extrude;even;kindly unto fervently
5;20312;invalid adored;who;save cow proctor;repeatedly
6;18943;sleet;retrospect scenery after;vivacious hm;geez mind connect
7;9474;joyfully concerning ouch;luxurious yahoo;toward;heavy yew
8;16067;times fawn geez;now neglect;consequently bottom;foreclose pish
9;886;selfishly bunker;stave conjoin;minus concur so;nosh
10;30753;candid distant yum;uncomfortable till;excluding gratefully which;dunk yuck
