id;cre_highlights_id;cre_highlights_ulid_id;cre_request_id;highlights;assessment_id
1;30036;thanks press scoop;thoughtful flare;sequestrate;2979
2;6772;qua what;while idealistic;box wing;9907
3;138;hospital;scavenge fooey reach;abut observatory worth;15344
4;15423;patrimony glass;before;calculate brave;16814
5;2190;upside-down slough monthly;tassel;loose yoga until;20318
6;5026;mealy;that;seldom excitable crop;1125
7;22190;quicker indeed perfumed;astride amidst;inasmuch how;29045
8;22600;uh-huh;cornerstone impair;contraindicate who;6149
9;12311;mini-skirt;er;overjoyed upright;15254
10;10770;sternly now;around;beneath;17240
