id;placed_offer_ulid_id;placed_offer_ref_no;req_off_ulid_id;request_offer_ref_no;value;req_amount;margin_ptg;margin_value;amount_aft_margin;interest_ptg;term;interest_value;net_amount;status;offer_date;placed_offer_date;anchor_trader;trade_partner;disbursal_amount
1;too;pegboard financing punt;ew dimly hence;plaster bleakly;2075;9903;19915.89;6004;22499;25320.84;9577;31646;14950;venerated;2024-03-27;2024-03-27;measly;besides sedately rapidly;between asphyxiate
2;knowledgeable;junior;pfft super;icecream;10230;18502;15144.52;2203;1217;17145.63;30048;20466;20918;gleam round however;2024-03-27;2024-03-26;taunt;unwilling how unlike;doing mysterious evil
3;third;apprehensive despite;vastly spit expedition;wilted;10177;24670;13548.25;28687;14365;2747.66;13462;30911;15820;out error;2024-03-26;2024-03-26;brr miserably;drat;excepting
4;wherever eek even;worn hastily novel;mysteriously;furthermore;17964;4817;9498.75;31786;22856;19617.36;27587;31450;19008;financing;2024-03-27;2024-03-27;until geez;quote;but
5;western unless like;shudder;abaft meh unto;will alongside lamb;24173;18701;9616.44;25082;25542;21300.7;27166;10826;29891;summarize boohoo about;2024-03-27;2024-03-26;substitution;bleakly ride;corsage decongestant
6;an;fatally;fizzle optimistic defiantly;uselessly within;10830;9480;21402.74;17047;2431;17936.34;23776;6223;13638;anchored salary yowza;2024-03-27;2024-03-26;yahoo which;yum;essential oof
7;as hungrily innocently;profile perfectly;stereotype politely;cacao;24931;29284;22265.68;24884;6075;14557.98;29001;16015;23383;antique;2024-03-26;2024-03-26;boohoo zowie tippex;edify yet;fast bah huge
8;brr obnoxiously;flashy yuck boohoo;vanity;whoever;23047;22308;24704.72;13976;11820;17958.96;18180;21654;15415;sound hence;2024-03-27;2024-03-27;hence wingman;gasket;echidna
9;quizzically;colorlessness for;yet;across platform suspiciously;15987;11456;31286.27;15195;7328;17737.2;19770;28993;6654;rage regularly;2024-03-26;2024-03-26;film oh duh;manhunt considering glue;hungrily
10;who;brighten usually;unnaturally peppery fast;patent;14621;16780;1862.03;29352;27524;31874.11;6598;6290;22215;rant comptroller badger;2024-03-27;2024-03-27;plus;wherever;or
