id;req_off_ulid_id;req_offer_ref_no;offer_value;request_amt;trade_value;margin_ptg;margin_value;amount_aft_margin;interest_ptg;term;interest_value;net_amount;status;finance_request_date;anchor_trader_name;trade_partner_name;anchor_trader_gst;trade_partner_gst;anchor_trader_gst_compliance_score;anchor_trader_gsterp_peer_score;seller_trade_performance_index
1;regular;playfully aggravate elite;20634;2188;28045;27792.75;32034;1383;22607.01;14294;21922.55;22661;restfully for searchingly;2024-03-06;consequently;batter bah;kindheartedly annually lustrous;duh;phooey failing wan;bus browser;finally loyally beneath
2;navigation hospitable gust;gently;25553;3426;27321;9753.09;31376;28252;29607.73;25293;4468.66;28812;ew;2024-03-06;qua firebomb minus;digitise mysteriously duh;wedding excluding departure;provided productivity;blissfully;trowel overstate inflame;ugh
3;ornate joyfully aw;yowza righteously;2601;28053;28075;29680.28;9672;5945;4729.48;30119;9670.19;26363;gracefully since;2024-03-05;cooperative wearily;supply but encyclopedia;quirkily downright before;instead excitedly;far;that plus where;chasuble packetise diesel
4;multiply exalted promptly;necktie although;6070;6196;2843;19613.87;23680;14059;24747.77;22373;10516.9;27756;by;2024-03-06;speed;oscillate resist;below from;until anxiously;personal in past;answer hmph;colossal jeopardise excepting
5;joyously for hoarse;shyly;3724;30972;27018;25281.87;25459;4872;5314.69;10562;23513.08;5993;sharp;2024-03-06;yahoo;barrier vigilant now;down;tobacco towards occupation;bonnet unlike;outlaw really authenticate;if reveal
6;gloomy against accoutre;uselessly on;6625;1956;21451;1173.92;20425;9933;1644.71;814;19777.91;15532;beneath inasmuch;2024-03-06;brr;logo separate defog;unethically mountain self-assured;incidentally upside-down in-joke;rod reckless;victoriously conform cruelly;damp micromanage
7;wherever lacerate;duh joyfully;16741;5440;27143;16256.6;26838;27058;27286.61;21194;24085.64;25548;towards that against;2024-03-05;bewitched whereas;along lest;deflate;now morbidity;this indeed;noteworthy hefty mitigate;unexpectedly
8;up;odd postage stumbling;10332;18976;7776;3111.05;24822;1569;7623.12;9545;7685.8;17037;consequently versus steamroller;2024-03-05;lest;wager;tanker snug competent;shoes apropos;prepare polite reformulate;um damaged loftily;er
9;nanoparticle blench abandoned;which;26951;10650;31451;8814.17;19816;5439;10779;29420;24487.96;11022;concerning;2024-03-05;supposing finally furiously;gee;negative perplex;until mmm till;chard jeopardise;atmosphere phony once;made-up sir
10;that flowery;throughout;8699;24241;30932;21834.08;29434;26077;25782.69;7252;2166.41;19195;which personal per;2024-03-06;astride obliterate;continually dangerous;why tensely;qua;yet notch safely;quietly modulo decisive;geez till excepting
