id;trade_channel_id;anchor_trader_id;trade_partner_id;finance_partner_id;anchor_trader_tenant_id;trade_partner_tenant_id;finance_partner_tenant_id
1;refute along;infiltrate;protection;gosh;resonate;valiantly;gently nearly good
2;never;boring analogy;after;until or including;readily;phooey phooey;of
3;finally baggy complex;gee chastity mushy;amid kookily gadzooks;present;ack extremist;whoever;under
4;during lobby;clearly magnify;plastic meh;while;because;rude;gran
5;as except;rubbery;colonialism cave bridle;energetically glory splinter;secret casserole;burning resident hmph;thoroughly so
6;punctually;ugh;wetly duh;boohoo dishonor;wearily evenly;per freely bravely;obi
7;although ironclad born;fall swear batch;motherly;though;singe;which;grizzled vertigo
8;without;mistake ick disease;hungrily sarcastic urn;overreach edge;parched yahoo;interesting ha astride;bewitch um outside
9;impish sternly;elegantly ack acidic;behind icy;pfft ah;whose ack winged;phew negative questionably;across
10;dry um hence;um;immaculate compromise;sans brand what;the troubled unfinished;clip toward pint;by despite negligible
