id;entity_id;entity_ulid_id;entity_name;entity_desc;entity_gst
1;29961;seriously heave commodity;sometimes abaft;yowza;reasonable reproachfully
2;23463;bah;muck infantilise;whereas meek very;while gah oof
3;30099;pleasing;representative;rescue reinstate;responsibility exhibit
4;13832;phooey ack irresponsible;collocate since fire;reiterate rebut;snooze although
5;17010;exercise easy;gee;minor because pig;anti vivaciously
6;704;ah alongside soft;entrance phew dead;amongst reject lest;tangible urban furthermore
7;3693;solidly;down;ha;mmm birthday outsource
8;29368;wrest align;plump;now honestly;recount fast puzzled
9;8790;turbulent gosh;creator international phooey;verifiable nightlight;where however yet
10;24152;chortle lively miscommunication;ride extort offensively;meanwhile;greatness stock that
